text,label,label_text
"While the introduction of carmustine wafers (Gliadel wafers) into the tumor resection cavity has been shown to be a beneficial therapy for malignant glioma, it is recognized that clinically significant cerebral edema is a potential adverse effect.",1,Related
Antiretroviral-induced hepatic steatosis and lactic acidosis: case report and review of the literature.,0,Not-Related
A 14-year-old girl with newly diagnosed SLE developed a pruritic bullous eruption while on prednisone.,1,Related
These reports suggest the possibility that the risk of developing hyperglycemia and diabetic coma with this combination may be greater than when taking diuretics alone.,0,Not-Related
We administered SKT for a patient with thoracic outlet syndrome (TOS) complaining of several resting symptoms.,0,Not-Related
"Administration of excessive insulin induced hypoglycemia within 4 to 8 hours, followed by rebound hyperglycemia.",1,Related
Iatrogenic vasculitis should be suspected when a patient with idiopathic vasculitis with one type of ANCA develops the other type of ANCA.,0,Not-Related
"BACKGROUND: Bupropion, a novel antidepressant, has been reported to produce fewer adverse effects than the tricyclic antidepressants.",0,Not-Related
"The first patient showed a good response to olanzapine, but the RLS symptoms associated with olanzapine resulted in poor long-term compliance, eventually leading to frequent relapse of psychotic symptoms.",0,Not-Related
The present report examines the case of a patient with longstanding Crohn's disease who had never been treated with corticosteroids and who developed osteonecrosis of the talus.,0,Not-Related
"However, 19 days after starting amiodarone, serum testing indicated a hypothyroid status that was not recognized clinically.",0,Not-Related
Systemic capillary leak syndrome after granulocyte colony-stimulating factor (G-CSF).,1,Related
We present a patient with multiple intraoral ulcerations of the right buccal and alveolar mucosa that had previously been treated with nerve ablation therapy for trigeminal neuralgia.,0,Not-Related
"While the 2 patients without re-exposure to etanercept did not have further CD flares, the third patient flared 6 months after re-institution of etanercept in combination with azathioprine.",0,Not-Related
"In this brief report, we present case of successful cisplatin administration following two unsuccessful carboplatin desensitization attempts, and without the need for pre-treatment steroids.",0,Not-Related
"This report describes a male college student who experienced akinesia lasting almost 3 weeks following withdrawal from relatively brief, low-dose neuroleptic treatment.",0,Not-Related
"We describe a woman with relapsed cutaneous follicular centre B-cell lymphoma and secondary lymph-node involvement treated with rituximab alone, which induced a complete remission.",0,Not-Related
"Since this reaction was not present on the original aspiration cytology slides, the chemotherapy treatment must have induced this reaction.",0,Not-Related
"There have been conflicting reports as to whether clozapine, an atypical antipsychotic, will suppress symptoms of tardive dyskinesia.",0,Not-Related
Drug induced acute parotitis is a very uncommon complication reported with a few drugs only.,0,Not-Related
"Two hours after a documented overdosage of more than 100 tablets oxcarbazepine, the serum level of the parent compound was 10-fold higher than the therapeutic dosage (31.6 mg l(-1)).",0,Not-Related
"Approximately 1 year after symptom onset he developed mild seropositive oculobulbar myasthenia gravis, which spontaneously remitted after 5 months.",0,Not-Related
"A senile patient showed a dramatic recovery from medication-resistant depression after non-convulsive electroshock therapy (nc-EST), with a lasting change in response to trazodone, which mainly acts as a serotonin re-uptake inhibitor.",0,Not-Related
We describe such a case who responded to chemotherapy and not to low doses of corticosteroids.,0,Not-Related
"Seven months after undergoing a syngeneic PBSC transplant for AML, our patient presented with fever without localizing signs.",0,Not-Related
"However, we cannot exclude a primitive effect of erythropoietin on the endothelium or on the platelets.",0,Not-Related
BACKGROUND: 5-fluorouracil (5-FU) targets rapidly dividing cancer cell populations.,0,Not-Related
Tetracycline and benign intracranial hypertension: report of five cases.,0,Not-Related
"He recovered completely after lamivudine therapy was started, but this severe adverse event could have been prevented if screening for HBV and pre-emptive therapy with lamivudine would have been started prior to infliximab.",0,Not-Related
We describe a heart transplant patient who presented with a large right-sided chest wall mass as a manifestation of disseminated histoplasmosis.,0,Not-Related
"OBSERVATIONS: In both patients, at the time of the visual disturbances, macular edema was clearly observed by OCT.",0,Not-Related
"This is not a controlled study but an anecdotal experience that resulted in improved outcomes in a patient with multiple allergies, including iron dextran.",0,Not-Related
"The areas under the curve for theophylline alone and theophylline with zafirlukast were 29.3 and 197 (mg x h)/L, respectively.",0,Not-Related
"On hospital day 47 (day 45 of nesiritide therapy), the patient received an 18-fold overdose of nesiritide, with no hemodynamic, cardiac, or renal sequelae.",0,Not-Related
"Adult patients with transfusional hemosiderosis were given ascorbic acid and treated with the iron chelator, desferrioxamine B.",0,Not-Related
"OBJECTIVE: We report two cases of lost seizure control associated with the generic substitution of carbamazepine, review pertinent literature, and discuss the impact of this substitution on patient care.",0,Not-Related
"We describe three patients who had been exposed to various solvents for more than 20 years (25, 34, and 46 years).",0,Not-Related
"We report here a 34-year-old woman with complicated severe opportunistic pulmonary infection, who was treated with the newly developed antibiotics quinupristin/dalfopristin (QPR/DPR) and voriconazole.",0,Not-Related
"An effective schema for the treatment of tardive dyskinesia includes avoiding antiparkinsonian medication and prescribing deanol, an acetylcholine precursor, while continuing or increasing phenothiazine dosages.",0,Not-Related
He underwent liver biopsy and biochemical screening to evaluate whether he would benefit from interferon (IFN) treatment.,0,Not-Related
Chronic fentanyl application induces adrenocortical insufficiency.,1,Related
"The tyrosine kinase activity and its effects represent a potential pharmacologic target of tyrosine kinase inhibitors, such as imatinib.",0,Not-Related
"An 18-year-old male patient was under treatment with infliximab at a dose of 5 mg/kg at Weeks 0, 2 and 6 for refractory Crohn's disease.",0,Not-Related
A 54-year-old female was admitted to our hospital for gingival bleeding and was diagnosed as acute promyelocytic leukemia (APL).,0,Not-Related
Atypical haemolytic uraemic syndrome as a complication of induction chemotherapy for acute lymphoblastic leukaemia.,0,Not-Related
Both patients experienced problems due to side effects from the anti-MAC regimen and from an immune-reconstitution syndrome related to HAART.,0,Not-Related
"After 39 hours on argatroban, the infusion was stopped when minor bleeding was observed with a concurrent activated partial thromboplastin time (aPTT) of 100 seconds.",1,Related
Anxiety dreams and night terrors have been reported as complications of single-dose bedtime administration of both tricyclic antidepressants and neuroleptics.,0,Not-Related
"With a follow-up duration of 3-4 months, we observed no toxicities outside of well-known side effects including some degree of myelosuppression and fluid retention.",0,Not-Related
We report a case of a male infertility patient with asthenozoospermia during long-term treatment with anti-epileptic drugs.,0,Not-Related
Vancomycin was changed to teicoplanin and the agranulocytosis resolved 4 days later.,0,Not-Related
We present a series of cases of phenytoin toxicity where the diagnosis was initially missed.,0,Not-Related
DISCUSSION: Drug hypersensitivity reactions are the most common cause of AIN.,0,Not-Related
DISCUSSION: To our knowledge this is the first reported case of tuberculous uveitis following treatment with etanercept.,1,Related
"However, there are few reports in the literature of ampicillin as a cause of acute interstitial nephritis.",1,Related
Pathogenic mechanisms for the development of pseudomembranous colitis and the epidemiology of this condition in patients with AIDS are discussed.,0,Not-Related
"Early symptoms included fever, malaise, and vague gastrointestinal symptoms.",0,Not-Related
"In the Perugia Consensus Conference it was decided that the recommended antiemetic regimen in the prevention of acute emesis induced by a single high, low and repeated doses of cisplatin is a serotonin receptor antagonist plus dexamethasone.",0,Not-Related
Henna (Lawsonia inermis Linn.) induced haemolytic anaemia in siblings.,0,Not-Related
The profound hyperkalemia that occurred in these two patients is thought to be the result of an inability to metabolize the administered arginine and excrete the excess extracellular potassium.,0,Not-Related
"The withdrawal of MMI and early treatment with 5 microg/kg per day recombinant human granulocyte colony-stimulating factor (G-CSF) for 9 days, allowed a favorable recovery of peripheral blood cell count.",0,Not-Related
Clinical and morphological features of gold neuropathy.,1,Related
Mercury is considered a weak sensitiser and contact with mercury salts such as chloride or ammonium chloride may cause hypersensitivity leading to contact dermatitis or Coomb's Type IV hypersensitivity reactions.,0,Not-Related
In this case report we describe the occurrence of oral lichen planus-like lesions as the first manifestation of chronic GVHD (c-GVHD) and the subsequent management of this disease with topical tacrolimus.,0,Not-Related
"Both infants initially responded well to medical therapy for narcotic withdrawal, but at 7-14 days of age, withdrawal symptoms intensified, requiring an increase in the dosages of Paregoric (UDL Laboratories, Rockford, IL) and opium tincture in both infants and the addition of phenobarbital therapy in one infant.",0,Not-Related
Imidazoline intoxication due to overdose or accidental ingestion but also after normal therapeutic usage is frequent in children.,1,Related
The mechanism of this unusual early and extreme rise of fibrinogen levels is unclear but it probably played a role in the pathogenesis of the cerebrovascular accident.,0,Not-Related
Treatment of lithium tremor with metoprolol.,1,Related
Hypercalcemia in an AIDS patient treated with growth hormone.,1,Related
"Growth failure is a recognised feature of Gitelman syndrome, although it is not as frequent as in Bartter syndrome.",0,Not-Related
"However, he developed acute renal failure, hyperkalemia, and hyperuricemia 30 d after receiving the sorafenib treatment.",1,Related
"When pilsicainide is prescribed in patients with coronary artery disease or renal dysfunction, close attention must be paid to avoid life-threatening arrhythmias due to high plasma concentrations of the drug.",1,Related
"These cases prompted an investigation of metamizole use in an urban pediatric clinic, which revealed that 35% of Spanish-speaking Latino families had used metamizole; 25% of these families had purchased the medication in the United States.",0,Not-Related
We describe the infectious toxicities experienced by the first two patients in our institution treated with dexamethasone (10 mg/m(2)/day for 4 weeks with gradual tapering) during induction according to the dexamethasone arm of BFM 2000 and review the relevant literature that suggests an increased risk of infectious complications with dexamethasone.,1,Related
Two anaphylactic deaths after chemonucleolysis.,0,Not-Related
Intravenous administration of levodopa ameliorated a refractory akathisia case induced by interferon-alpha.,1,Related
"Thirty-four children with acute lymphoblastic leukaemia (ALL) in relapse or resistant to initial induction received combination chemotherapy with prednisolone, vincristine, l-asparaginase, and daunorubicin.",0,Not-Related
We present a case of respiratory failure occurring in a woman at 16 weeks' gestation who was being treated with nitrofurantoin for a urinary tract infection.,1,Related
Pyoderma gangrenosum related to a new granulocyte colony-stimulating factor.,0,Not-Related
"Her physical appearance, elevated and relatively nonsuppressible plasma cortisol levels, and radiologic study supported a tentative diagnosis of Cushing's syndrome in a critically ill patient.",0,Not-Related
"The effects of lorcainide, a new antiarrhythmic drug, on serum electrolytes and osmolality are described in a series of 33 patients with organic heart disease and complex ventricular arrhythmias treated with lorcainide.",0,Not-Related
Other agents known for such association are serotonin (5-hydroxytryptamine) and beta-adrenergic blockers.,0,Not-Related
"I report the case of a patient who developed tuberculosis after a Billroth II subtotal gastrectomy, malabsorbed his antibiotics, and subsequently manifested infection with a drug-resistant strain of M tuberculosis.",0,Not-Related
Acute renal failure most likely was secondary to the nephrotoxic effect of captopril on chronically hypoperfused kidneys.,1,Related
"ADH hypersecretion in relation to plasma osmolality was reversed by mizoribin withdrawal, suggesting that bredinin might adversely induce SIADH.",1,Related
Thromboembolic phenomenon is rare but serious consequence of ovarian hyperstimulation syndrome (OHSS) and in vitro fertilization (IVF) treatment.,0,Not-Related
Endarteritis by inflammation of the leptomeninges is known to be its cause.,0,Not-Related
"CLINICAL FEATURES: A 74-yr-old, 51-kg woman with a history of hypertension controlled with 5 mg.day-1 enalapril and 50 mg.day-1 atenolol was admitted for evaluation of low back pain, loss of appetite, and weight loss.",0,Not-Related
"After treatment with cimetidine, there was a rapid deterioration with decreased oxygen saturation and arterial PO2 values.",1,Related
Disseminated Ureaplasma urealyticum infection in a hypo-gammaglobulinaemic renal transplant patient.,0,Not-Related
Renal injury due to anastrozole has not been published in the English literature.,1,Related
"A prerenal component could have contributed to renal failure because of a transient hypotension, due to an increasing ascitis, occurring just before anuria.",0,Not-Related
"As this relapse coincided with development of a strong delayed-type hypersensitivity response to tuberculin and improved after treatment with the anti-inflammatory agent oxpentifylline, it was probably caused by restoration of pathogen-specific cellular immunity.",1,Related
The reason for occurrence of cutaneous reactions in interferon treated patients is unknown.,0,Not-Related
There was a clear relationship between restarting the Accutane and recurrence of the transient myopia.,1,Related
Bilateral blindness after starting highly active antiretroviral treatment in a patient with HIV infection and cryptococcal meningitis.,0,Not-Related
"After a latent period of 4 months, he developed a progressive, severe and ultimately fatal radiation myelopathy, which we suggest was due to a synergistic interaction between the high-dose chemotherapy and the radiotherapy.",0,Not-Related
"Multibacillary, lepromatous or borderline leprosy patients may present two types of vasculonecrotic reactions: Lucio phenomenon and that associated with erythema nodosum leprosum.",0,Not-Related
"In patients with a known access to INH, seizures should be considered to be caused by INH toxicity unless proved otherwise.",1,Related
"METHODS AND RESULTS: At 6 weeks after renal transplantation, a 57-year-old woman presented with TMA.",0,Not-Related
Nineteen cases of allergic contact dermatitis to compound tincture of benzoin are described.,1,Related
The principal types of renal disorders associated with chronic HCV infection are cryoglobulinemia or noncryoglobulinemic membranoproliferative glomerulonephritis (MPGN).,0,Not-Related
"On rare occasions, severe complications such as respiratory failure, metabolic acidosis, renal failure, coma, and death have been reported in both adults and children.",0,Not-Related
"Seven years after the transplantation, cholelithiasis, cholecystitis, cholangitis and subsequently secondary chronic biliary sclerosis were detected.",0,Not-Related
"L-asparaginase, an enzyme with established antileukemic activity, increases the induction rate and duration of remission of acute lymphoblastic leukemia when added to vincristine and prednisone for induction therapy.",0,Not-Related
Poison oak and related hypersensitivity dermatitides are age-old problems that have historically been treated with herbal medicines before the availability of corticosteroids.,0,Not-Related
"Investigations revealed AT deficiency, thrombocytopenia and renal infarction.",0,Not-Related
Amebic abscess of the spleen complicated by metronidazole-induced neurotoxicity: case report.,1,Related
"On the other hand, 13 patients had no histologically verified liver cirrhosis in their latest biopsy, and PIIINP was within the normal range in all 11 patients investigated, this in spite of total cumulative MTX doses from 1,120 to 18,645 mg (mean 7,171 mg).",0,Not-Related
After a total of 11 applications the patient developed a port thrombosis resistant to lysis with urokinase.,0,Not-Related
"P. carinii pneumonia (PCP) is usually a late complication in patients receiving TMP/SMX prophylaxis, with most cases occurring later than 2 months post-transplant.",0,Not-Related
"Bone marrow transplant nephropathy (BMTN) classically presents more than 100 days after transplantation as an acute nephritis with hypertension, azotaemia and anemia that usually results in end stage renal failure (ESRF).",0,Not-Related
"The two final patients suffered from typical forms of primary NH, one associated with migraine without aura, the other with chronic tension-type headache.",0,Not-Related
"Broncho-pulmonary infection in a 50-year-old male with acute, hypertensive, intracerebral bleeding, necessitated therapy with cefpirome (2 g/day, 6 days), ciprofloxacin (800 mg/d, 11 days) and tazobactam/piperacillin (9 g/day, 11 days).",0,Not-Related
Adverse effects of propafenone after long-term therapy with the addition of citalopram.,0,Not-Related
Torsades de pointes was diagnosed in the Emergency Department (ED).,0,Not-Related
We report the case of a young HIV seropositive patient with severe hemophilia A who presented rapid liver failure related to his chronic C hepatitis.,0,Not-Related
There are a few case reports of other fluoroquinolones that have been associated with toxic epidermal necrolysis.,0,Not-Related
"Furthermore, the concomitant use of fluoxetine and clozapine is discouraged, with citalopram suggested as a suitable antidepressant in those depressed patients receiving clozapine.",0,Not-Related
One twin had clinically appreciable hypoparathyroidism and had received calcitriol since early infancy.,0,Not-Related
We have reported the first case of successful treatment of disseminated histoplasmosis in a renal allograft recipient using a short course (14 days) of amphotericin B in combination with prolonged therapy (161 days) with ketoconazole.,0,Not-Related
"A 64-year-old woman with blepharospasm, sustained clenching of the jaw, antecollis, and a strained, high-pitched phonation continued chronic trihexyphenidyl therapy despite the lack of any obvious benefit.",0,Not-Related
"He developed hyperpyrexia with oligohidrosis and central neurological symptoms, including, chorea-like involuntary movements, resting tremor, and cogwheel rigidity.",0,Not-Related
Phenytoin toxicity and thyroid dysfunction.,0,Not-Related
"The chemotherapeutics, including vincristine, actinomycin D, and epirubicin in case 1 and vincristine and actinomycin D in case 2, were given before the hepatotoxicity developed.",1,Related
The uncontrolled case report: a double-edged sword.,0,Not-Related
At five years of age elevated serum and urinary androgen levels unsuppressible with dexamethasone were noted.,0,Not-Related
Primary ovarian large B-cell lymphoma in patient with juvenile rheumatoid arthritis treated with low dose Methotrexate.,0,Not-Related
"Antipsychotic-induced RLS and PLMS are not well-recognized side effects of antipsychotics, with the symptoms often misdiagnosed as psychotic agitation.",0,Not-Related
"Because of the presence of severe ascites and massive ovarian enlargement, it was elected to treat this patient with methotrexate therapy rather than surgery.",0,Not-Related
"A 66 year old HIV infected male heavy smoker presented with arthralgia, myalgia, and weight loss which was originally ascribed to nucleoside induced mitochondrial toxicity.",0,Not-Related
The optimal management of anthracycline extravasation remains unclear.,0,Not-Related
OBJECTIVE: To describe and discuss the use of continuous intravenous infusions of haloperidol to treat severe delirium and agitation in 3 intensive care unit (ICU) patients.,0,Not-Related
Calciphylaxis is a rare and life-threatening condition of progressive cutaneous necrosis secondary to small and medium-sized vessel calcification that is seen almost exclusively in patients with end-stage renal disease and hyperparathyroidism.,0,Not-Related
Aminoglycoside renal mineral wasting has not previously been described in a child.,0,Not-Related
"A review of causes of thrombocytoses in humans and animals is presented, and the criteria for diagnosis of essential thrombocythemia are examined.",0,Not-Related
RESULTS: Five of the six patients experienced intolerable exacerbation of parkinsonism.,0,Not-Related
"Central nervous system effects that parallel amnesia have been reported in 10-15% of the patients, including dizziness, ataxia, drowsiness, fatigue, confusion, and paranoia.",0,Not-Related
Successful use of levosimendan in a patient during cardiopulmonary bypass.,0,Not-Related
"Six months after the diagnosis of sarcoidosis, the patient was asymptomatic and a complete sustained response to hepatitis C was achieved.",0,Not-Related
"Parkinsonism, pyramidal signs, polyneuropathy, and cognitive decline after long-term occupational solvent exposure.",0,Not-Related
"A review of the literature suggests that leukoencephalopathy may be prevented by high doses of leucovorin and can be treated by high doses, if lower doses were used initially.",0,Not-Related
"CONCLUSIONS: Life-threatening adrenal suppression, requiring hydrocortisone supplementation and intensive therapy, was observed and successfully treated in a newborn, whose mother had received high-dose methylprednisolone in late pregnancy.",1,Related
"Complete remission was achieved, however, severe neutropenia, documented infection, stomatitis, and diarrhea were observed.",0,Not-Related
"Pulmonary eosinophilia or granulomas, classically seen in previously reported cases of methotrexate pneumonitis, were not observed.",1,Related
Lymphomatoid granulomatosis developed in a patient with pemphigus vulgaris who had been undergoing immunosuppressive therapy for three years.,0,Not-Related
Decreased plasma cortisol level during alprazolam treatment of panic disorder: a case report.,1,Related
Palmoplantar pustular psoriasis (PPP) is an uncommon form of chronic psoriasis.,0,Not-Related
We conclude that cephalosporins of the first generation or ciprofloxacin may be good alternatives to penicillin G in the treatment of C. hominis infection in patients known to be hypersensitive to penicillin.,0,Not-Related
"Although many of the patients have underlying heart disease, there are reports of patients with no evident heart disease where acute alcohol injestion has caused arrhythmias.",0,Not-Related
This is the first report of a middle-aged man with multiple coronary lesions.,0,Not-Related
Patient 2 presented an acute left hemiballismus when consciousness was restored with naloxone.,0,Not-Related
"CASE SUMMARY: A 22-year-old male with cystic fibrosis had been nonadherent to treatment for 4 years; when he returned to the clinic with symptoms, his forced expiratory volume in 1 second dropped from 84% predicted to 43% predicted.",0,Not-Related
Two cases are presented with complicated FMF.,0,Not-Related
It is unclear if this effect is directly related to the administration of antileukotrienes or a consequence of the corticosteroid-sparing effect of antileukotrienes unmasking a Churg-Strauss syndrome.,0,Not-Related
We report the case of a young healthy woman who presented an early overanticoagulation when receiving acenocoumarol for a first thromboembolic episode.,1,Related
A 75-year-old man on anticoagulant therapy suddenly experienced an excruciating back pain and subsequently developed a paraplegia.,0,Not-Related
Patient-initiated rapid atrial pacing to manage supraventricular tachycardia.,0,Not-Related
Acute radial artery ischemia following therapeutic steroid injection.,0,Not-Related
All patients receiving chronic corticosteroids should have an ophthalmologic examination early in the course of treatment and periodically thereafter.,0,Not-Related
Hypocalcemia is a frequent finding during the correction phase of the HPTH-II with calcimimetics.,0,Not-Related
Infections are a major adverse effect during the treatment with anti-TNF-alpha.,1,Related
"Taste and smell changes (TSCs) are known side effects of chemotherapy, but smell changes (SCs) in the absence of taste changes are understudied.",0,Not-Related
We report the use of granulocyte colony-stimulating factor (G-CSF) in a renal transplant recipient in whom neutropenia developed following a presumed viral infection.,0,Not-Related
Antithyroid treatment with propylthiouracil (PTU) resulted in elevated hepatic enzymes and after the 12th week of pregnancy treatment was changed to carbimazole (CBZ).,1,Related
This is a rare case of ARDS associated with lithium intoxication.,1,Related
Sensorineural hearing loss due to quinine therapy for malaria has frequently been mentioned in the literature but has not been a subject of research during the last decades.,1,Related
Ileus after administration of cold remedy in an elderly diabetic patient treated with acarbose.,0,Not-Related
"They presented with parkinsonism, pyramidal signs, mild cognitive decline, and unresponsiveness to levodopa.",0,Not-Related
Introduction of etanercept was also clinically effective but followed by development of severe heart failure.,1,Related
"To our knowledge, this is the first reported case of drug-induced lung disease involving a leukotriene.",0,Not-Related
CONCLUSION: Alendronate led to nodular scleritis and rechallenge caused recurrence of scleritis.,1,Related
A historical review of the adverse reactions to neuroleptic agents--extrapyramidal side effects--is presented.,0,Not-Related
"At the time when the leukemia appeared seven of the patients were in complete, and one in partial, remission as regards the ovarian carcinoma.",0,Not-Related
"Hypoxemia improved during continuous tolazoline infusion, but gastrointestinal bleeding occurred.",1,Related
Micrococcus luteus pneumonia: a case report and review of the literature.,0,Not-Related
"He had been taking finasteride (Propecia; Merck, Sharp and Dohme) at 1 mg/day for 3 years to treat early stage of androgenic alopecia.",0,Not-Related
"Following the first episode, he was eucalcemic for nine weeks without therapy, attesting to the prolonged biological effects of calcitriol when used in the treatment of hypoparathyroidism.",0,Not-Related
"We found that patients with serotonin syndrome most often (74.3%) presented within 24 hours of medication initiation, overdose, or change in dosage.",0,Not-Related
ACE-inhibitors-induced metabolic acidosis in a child with nephrotic syndrome.,0,Not-Related
This case suggests that disopyramide should be used with caution in patients with bifascicular block patterns on ECG.,0,Not-Related
Eye movement disorders in bone marrow transplant patients on cyclosporin and ganciclovir.,1,Related
"Cotton-wool spots were found in six patients, retinal hemorrhages in four, and branch retinal vein occlusion in one (one eye).",0,Not-Related
Panic attacks occurred for the first time in a patient suffering from delusional depression during treatment with a combination of an antidepressant and a neuroleptic.,0,Not-Related
"Epidural steroid therapy is a commonly applied ""conservative"" therapy, but it is not inherently benign.",0,Not-Related
"Purple glove syndrome, named for its distinctive purple discoloration and swelling of the hands in the distribution of a glove, is an uncommon complication of intravenous phenytoin administration through small dorsal veins of the hands.",1,Related
Infectious complications of this therapeutic regime in severe UC are known but to our knowledge a recurrent sepsis complicating this therapy even after cessation of CyA has not been reported in the literature so far.,0,Not-Related
A 78-year-old man with a long history of major depression responded well to a course of ECT but relapsed before maintenance treatments could be started.,0,Not-Related
An 8-year-old boy was found to be hypertensive on routine exam (144/88).,0,Not-Related
Flecainide-associated pneumonitis with acute respiratory failure in a patient with the LEOPARD syndrome.,1,Related
"She had been taking nabumetone for 6 months, but had discontinued the agent 2 weeks before admission due to progressive edema.",1,Related
"Calcimimetics are a new class of drugs approved in the European Community and the United States by the Food and Drug Administration that were designed to suppress parathyroid hormone (PTH) levels with a simultaneous reduction in serum calcium and phosphorus levels, and calcium phosphorus product (Ca x P).",0,Not-Related
"In two patients, apomorphine remained effective in the morning, but increased the intensity of the dyskinesias in the afternoon.",1,Related
"Seizures in the neonatal period generally respond well to anticonvulsant therapy, but exposure to anticonvulsant medication during the first few months of life may have a detrimental influence on growth and development.",0,Not-Related
"Although porphyria cutanea tarda may be familial, it is more often sporadic in occurrence, and has been associated with excess alcohol ingestion, estrogen administration, iron overload, and several environmental hepatotoxins.",0,Not-Related
None of these patients met the DSM-IV criteria for a major depressive disorder.,0,Not-Related
The patient had been experiencing frequent headaches and tenderness at the site of the lump for about a month before being seen by the neurosurgeon.,0,Not-Related
Here we report a 75-year-old woman with acute left middle cerebral artery occlusion who developed right internal carotid artery occlusion during the last minutes of recombinant tissue plasminogen activator infusion.,0,Not-Related
Treatment of intractable arterial hemorrhage during stereotactic brain biopsy with thrombin.,0,Not-Related
"To our knowledge, this is the first reported case of the use of sodium thiosulfate to treat calciphylaxis in a patient with normal renal function.",0,Not-Related
Rheumatoid arthritis after 9 years of human immunodeficiency virus infection: possible contribution of tritherapy.,0,Not-Related
The authors report the case of a 32-year-old man who had been treated for anxiety and obsessive-compulsive disorder and had received 800 mg methylphenobarbital (MPB).,0,Not-Related
Disseminated Scedosporium/Pseudallescheria infection after double-lung transplantation in patients with cystic fibrosis.,0,Not-Related
Cutaneous alternariosis: role of corticosteroid-induced cutaneous fragility.,0,Not-Related
"Herein we report the successful treatment of invasive aspergillosis with the liposomal amphotericin B (AMB) formulation, Amphotericin B Lipid Complex (ABLC).",0,Not-Related
"The median latent period was 9.5 hours (range 4 to 24 hours) with a delay to medical consultation of 36 hours (range 6 to 48 hours), and a median serum methanol concentration of 1.4 g/L (range 0.19 to 3.62 g/L).",0,Not-Related
"Analysis of his cerebrospinal fluid showed a decrease in loosely-bound (catalytic) iron and increase in loosely-bound (catalytic) copper, total iron and products of lipid peroxidation, with values approaching normal as the symptoms resolved.",0,Not-Related
"After administration of Oxybutynin concomitantly with an increase in the dose of Dantrolene, she presented the clinical symptoms and laboratory finding of Carbamazepine intoxication.",1,Related
These findings suggest that the arterial vasoconstriction decreased the integrity of the intestinal mucosal barrier and permitted the transmural migration of enteric organisms from the lumen of the bowel into the ascites-filled peritoneal cavity.,0,Not-Related
"A review of the literature also reveals that MMF is a safe medication that appears to have a more favorable side effect profile than azathioprine, although it is more expensive than azathioprine.",0,Not-Related
Neuropathic pain syndrome as an occult manifestation of injury of the spinal cord after surgical repair of aortic coarctation.,0,Not-Related
"Of 371 patients treated with 8MOP, three (0.8%) developed an acute dermatitis in the PUVA-treated areas.",1,Related
CONCLUSIONS: Clinicians should be aware that Crohn's disease is a potential novel adverse drug effect of Copaxone.,1,Related
These findings suggest that there may be a place for intravenous CyA therapy in patients with severe Crohn's disease who do not respond to conventional therapy or to oral treatment with CyA.,0,Not-Related
We report the case of a 59-year-old man who was treated with intraarterial chemotherapy for metastatic colonic adenocarcinoma.,0,Not-Related
